<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS,15,20130618,214500,130310.0000000,130560.0000000,130120.0000000,130440.0000000,11922
SPFB.RTS,15,20130618,220000,130450.0000000,130540.0000000,130260.0000000,130400.0000000,7719
SPFB.RTS,15,20130618,221500,130420.0000000,130530.0000000,130300.0000000,130390.0000000,9198
SPFB.RTS,15,20130618,223000,130390.0000000,130590.0000000,130300.0000000,130350.0000000,8073
SPFB.RTS,15,20130618,224500,130360.0000000,130460.0000000,130250.0000000,130310.0000000,4745
SPFB.RTS,15,20130618,230000,130320.0000000,130480.0000000,130270.0000000,130400.0000000,4303
SPFB.RTS,15,20130618,231500,130380.0000000,130430.0000000,130310.0000000,130340.0000000,3308
SPFB.RTS,15,20130618,233000,130340.0000000,130550.0000000,130250.0000000,130510.0000000,6336
SPFB.RTS,15,20130618,234500,130520.0000000,130670.0000000,130460.0000000,130530.0000000,8971
SPFB.RTS,15,20130619,000000,130530.0000000,130600.0000000,130350.0000000,130480.0000000,6141
SPFB.RTS,15,20130619,101500,130500.0000000,130780.0000000,130370.0000000,130440.0000000,28340
SPFB.RTS,15,20130619,103000,130430.0000000,130530.0000000,130160.0000000,130270.0000000,17547
SPFB.RTS,15,20130619,104500,130270.0000000,130370.0000000,129810.0000000,129920.0000000,34695
SPFB.RTS,15,20130619,110000,129920.0000000,129940.0000000,129050.0000000,129320.0000000,59371
SPFB.RTS,15,20130619,111500,129330.0000000,129520.0000000,128800.0000000,129000.0000000,50706
SPFB.RTS,15,20130619,113000,129000.0000000,129260.0000000,128600.0000000,128670.0000000,41060
SPFB.RTS,15,20130619,114500,128690.0000000,128840.0000000,128400.0000000,128710.0000000,49123
SPFB.RTS,15,20130619,120000,128710.0000000,128790.0000000,128650.0000000,128710.0000000,19722
SPFB.RTS,15,20130619,121500,128710.0000000,128880.0000000,128490.0000000,128770.0000000,34701
SPFB.RTS,15,20130619,123000,128780.0000000,128790.0000000,128190.0000000,128200.0000000,35884
SPFB.RTS,15,20130619,124500,128210.0000000,128660.0000000,128190.0000000,128560.0000000,28853
SPFB.RTS,15,20130619,130000,128560.0000000,128700.0000000,128450.0000000,128600.0000000,17096
SPFB.RTS,15,20130619,131500,128590.0000000,128610.0000000,128130.0000000,128180.0000000,24988
SPFB.RTS,15,20130619,133000,128180.0000000,128360.0000000,128050.0000000,128250.0000000,32540
SPFB.RTS,15,20130619,134500,128240.0000000,128500.0000000,128240.0000000,128380.0000000,20984
SPFB.RTS,15,20130619,140000,128390.0000000,128480.0000000,128180.0000000,128360.0000000,14497
SPFB.RTS,15,20130619,141500,128340.0000000,128340.0000000,128070.0000000,128160.0000000,13351
SPFB.RTS,15,20130619,143000,128170.0000000,128300.0000000,127870.0000000,127880.0000000,33806
SPFB.RTS,15,20130619,144500,127880.0000000,128190.0000000,127800.0000000,128100.0000000,25212
SPFB.RTS,15,20130619,150000,128100.0000000,128140.0000000,127910.0000000,128000.0000000,11131
SPFB.RTS,15,20130619,151500,128000.0000000,128040.0000000,127530.0000000,127730.0000000,36954
SPFB.RTS,15,20130619,153000,127730.0000000,127750.0000000,127430.0000000,127630.0000000,25844
SPFB.RTS,15,20130619,154500,127640.0000000,127700.0000000,127460.0000000,127580.0000000,14076
SPFB.RTS,15,20130619,160000,127580.0000000,128160.0000000,127430.0000000,128080.0000000,27609
SPFB.RTS,15,20130619,161500,128080.0000000,128750.0000000,128080.0000000,128480.0000000,62363
SPFB.RTS,15,20130619,163000,128480.0000000,128640.0000000,128370.0000000,128440.0000000,15789
SPFB.RTS,15,20130619,164500,128420.0000000,128440.0000000,127660.0000000,127970.0000000,39369
SPFB.RTS,15,20130619,170000,127970.0000000,128160.0000000,127820.0000000,127870.0000000,18938
SPFB.RTS,15,20130619,171500,127870.0000000,127950.0000000,127670.0000000,127930.0000000,22452
SPFB.RTS,15,20130619,173000,127930.0000000,128030.0000000,127560.0000000,127620.0000000,17262
SPFB.RTS,15,20130619,174500,127630.0000000,127880.0000000,127150.0000000,127530.0000000,56743
SPFB.RTS,15,20130619,180000,127530.0000000,127800.0000000,127450.0000000,127570.0000000,27228
SPFB.RTS,15,20130619,181500,127570.0000000,127870.0000000,127520.0000000,127660.0000000,22354
SPFB.RTS,15,20130619,183000,127670.0000000,128160.0000000,127620.0000000,128020.0000000,36963
SPFB.RTS,15,20130619,184500,128000.0000000,128010.0000000,127760.0000000,127880.0000000,21930
SPFB.RTS,15,20130619,191500,127810.0000000,128230.0000000,127700.0000000,127980.0000000,22229
SPFB.RTS,15,20130619,193000,127980.0000000,128050.0000000,127820.0000000,127970.0000000,9820
SPFB.RTS,15,20130619,194500,127970.0000000,128010.0000000,127820.0000000,127910.0000000,5432
SPFB.RTS,15,20130619,200000,127910.0000000,127940.0000000,127820.0000000,127850.0000000,3419
