<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS;1;20130711;115500;129330.0000000;129340.0000000;129270.0000000;129300.0000000;4393
SPFB.RTS;1;20130711;115600;129300.0000000;129350.0000000;129280.0000000;129350.0000000;2082
SPFB.RTS;1;20130711;115700;129350.0000000;129380.0000000;129330.0000000;129370.0000000;963
SPFB.RTS;1;20130711;115800;129360.0000000;129390.0000000;129350.0000000;129360.0000000;377
SPFB.RTS;1;20130711;115900;129350.0000000;129400.0000000;129340.0000000;129390.0000000;659
SPFB.RTS;1;20130711;120000;129390.0000000;129430.0000000;129380.0000000;129400.0000000;1458
SPFB.RTS;1;20130711;120100;129420.0000000;129520.0000000;129400.0000000;129470.0000000;5378
SPFB.RTS;1;20130711;120200;129470.0000000;129510.0000000;129450.0000000;129510.0000000;599
SPFB.RTS;1;20130711;120300;129510.0000000;129520.0000000;129450.0000000;129470.0000000;667
SPFB.RTS;1;20130711;120400;129470.0000000;129580.0000000;129450.0000000;129580.0000000;2971
SPFB.RTS;1;20130711;120500;129580.0000000;129590.0000000;129480.0000000;129500.0000000;1586
SPFB.RTS;1;20130711;120600;129500.0000000;129520.0000000;129490.0000000;129500.0000000;713
SPFB.RTS;1;20130711;120700;129500.0000000;129510.0000000;129450.0000000;129480.0000000;1304
SPFB.RTS;1;20130711;120800;129490.0000000;129500.0000000;129460.0000000;129490.0000000;701
SPFB.RTS;1;20130711;120900;129480.0000000;129500.0000000;129460.0000000;129480.0000000;746
SPFB.RTS;1;20130711;121000;129490.0000000;129490.0000000;129460.0000000;129460.0000000;710
SPFB.RTS;1;20130711;121100;129470.0000000;129500.0000000;129410.0000000;129460.0000000;1495
SPFB.RTS;1;20130711;121200;129450.0000000;129520.0000000;129440.0000000;129500.0000000;1655
SPFB.RTS;1;20130711;121300;129520.0000000;129550.0000000;129490.0000000;129550.0000000;812
SPFB.RTS;1;20130711;121400;129540.0000000;129580.0000000;129520.0000000;129570.0000000;1911
SPFB.RTS;1;20130711;121500;129560.0000000;129620.0000000;129550.0000000;129590.0000000;2433
SPFB.RTS;1;20130711;121600;129590.0000000;129600.0000000;129530.0000000;129530.0000000;913
SPFB.RTS;1;20130711;121700;129530.0000000;129550.0000000;129520.0000000;129550.0000000;484
SPFB.RTS;1;20130711;121800;129540.0000000;129580.0000000;129530.0000000;129550.0000000;920
SPFB.RTS;1;20130711;121900;129550.0000000;129590.0000000;129540.0000000;129570.0000000;937
SPFB.RTS;1;20130711;122000;129580.0000000;129630.0000000;129570.0000000;129620.0000000;1689
SPFB.RTS;1;20130711;122100;129620.0000000;129630.0000000;129550.0000000;129580.0000000;2412
SPFB.RTS;1;20130711;122200;129580.0000000;129650.0000000;129580.0000000;129640.0000000;1767
SPFB.RTS;1;20130711;122300;129650.0000000;129750.0000000;129580.0000000;129610.0000000;4549
SPFB.RTS;1;20130711;122400;129610.0000000;129630.0000000;129580.0000000;129610.0000000;665
SPFB.RTS;1;20130711;122500;129610.0000000;129610.0000000;129550.0000000;129570.0000000;834
SPFB.RTS;1;20130711;122600;129570.0000000;129680.0000000;129570.0000000;129660.0000000;3059
SPFB.RTS;1;20130711;122700;129650.0000000;129740.0000000;129640.0000000;129650.0000000;3746
SPFB.RTS;1;20130711;122800;129650.0000000;129670.0000000;129600.0000000;129610.0000000;962
SPFB.RTS;1;20130711;122900;129610.0000000;129650.0000000;129600.0000000;129620.0000000;1065
SPFB.RTS;1;20130711;123000;129620.0000000;129660.0000000;129620.0000000;129640.0000000;574
SPFB.RTS;1;20130711;123100;129630.0000000;129660.0000000;129580.0000000;129610.0000000;991
SPFB.RTS;1;20130711;123200;129610.0000000;129620.0000000;129570.0000000;129600.0000000;536
SPFB.RTS;1;20130711;123300;129600.0000000;129600.0000000;129560.0000000;129590.0000000;610
SPFB.RTS;1;20130711;123400;129590.0000000;129600.0000000;129560.0000000;129600.0000000;257
SPFB.RTS;1;20130711;123500;129600.0000000;129650.0000000;129590.0000000;129600.0000000;1036
SPFB.RTS;1;20130711;123600;129610.0000000;129620.0000000;129570.0000000;129580.0000000;385
SPFB.RTS;1;20130711;123700;129570.0000000;129640.0000000;129560.0000000;129630.0000000;2058
SPFB.RTS;1;20130711;123800;129630.0000000;129640.0000000;129580.0000000;129590.0000000;802
SPFB.RTS;1;20130711;123900;129580.0000000;129620.0000000;129570.0000000;129570.0000000;1153
SPFB.RTS;1;20130711;124000;129580.0000000;129600.0000000;129560.0000000;129570.0000000;1065
SPFB.RTS;1;20130711;124100;129570.0000000;129630.0000000;129530.0000000;129600.0000000;2839
SPFB.RTS;1;20130711;124200;129590.0000000;129630.0000000;129570.0000000;129600.0000000;721
SPFB.RTS;1;20130711;124300;129610.0000000;129620.0000000;129430.0000000;129430.0000000;3192
SPFB.RTS;1;20130711;124400;129450.0000000;129510.0000000;129430.0000000;129490.0000000;2309
SPFB.RTS;1;20130711;124500;129480.0000000;129490.0000000;129440.0000000;129440.0000000;673
SPFB.RTS;1;20130711;124600;129440.0000000;129460.0000000;129340.0000000;129370.0000000;2507
SPFB.RTS;1;20130711;124700;129370.0000000;129440.0000000;129370.0000000;129390.0000000;1789
SPFB.RTS;1;20130711;124800;129400.0000000;129450.0000000;129390.0000000;129430.0000000;472
SPFB.RTS;1;20130711;124900;129440.0000000;129460.0000000;129400.0000000;129400.0000000;458
SPFB.RTS;1;20130711;125000;129420.0000000;129440.0000000;129400.0000000;129410.0000000;288
SPFB.RTS;1;20130711;125100;129410.0000000;129440.0000000;129370.0000000;129410.0000000;1407
SPFB.RTS;1;20130711;125200;129410.0000000;129470.0000000;129390.0000000;129460.0000000;475
SPFB.RTS;1;20130711;125300;129450.0000000;129460.0000000;129420.0000000;129430.0000000;168
SPFB.RTS;1;20130711;125400;129430.0000000;129450.0000000;129400.0000000;129400.0000000;327
SPFB.RTS;1;20130711;125500;129390.0000000;129400.0000000;129310.0000000;129330.0000000;1979
SPFB.RTS;1;20130711;125600;129350.0000000;129410.0000000;129300.0000000;129400.0000000;3998
SPFB.RTS;1;20130711;125700;129410.0000000;129500.0000000;129400.0000000;129440.0000000;1412
SPFB.RTS;1;20130711;125800;129450.0000000;129470.0000000;129420.0000000;129440.0000000;635
SPFB.RTS;1;20130711;125900;129460.0000000;129550.0000000;129420.0000000;129500.0000000;4858
SPFB.RTS;1;20130711;130000;129510.0000000;129540.0000000;129470.0000000;129520.0000000;1070
SPFB.RTS;1;20130711;130100;129520.0000000;129590.0000000;129520.0000000;129530.0000000;1418
SPFB.RTS;1;20130711;130200;129530.0000000;129570.0000000;129520.0000000;129560.0000000;782
SPFB.RTS;1;20130711;130300;129570.0000000;129630.0000000;129550.0000000;129550.0000000;1355
SPFB.RTS;1;20130711;130400;129560.0000000;129590.0000000;129520.0000000;129550.0000000;859
SPFB.RTS;1;20130711;130500;129550.0000000;129570.0000000;129530.0000000;129560.0000000;241
SPFB.RTS;1;20130711;130600;129570.0000000;129580.0000000;129550.0000000;129570.0000000;389
SPFB.RTS;1;20130711;130700;129570.0000000;129580.0000000;129550.0000000;129550.0000000;247
SPFB.RTS;1;20130711;130800;129550.0000000;129580.0000000;129550.0000000;129550.0000000;407
SPFB.RTS;1;20130711;130900;129560.0000000;129610.0000000;129540.0000000;129580.0000000;1009
SPFB.RTS;1;20130711;131000;129590.0000000;129600.0000000;129550.0000000;129550.0000000;348
SPFB.RTS;1;20130711;131100;129560.0000000;129600.0000000;129560.0000000;129580.0000000;293
SPFB.RTS;1;20130711;131200;129590.0000000;129590.0000000;129490.0000000;129500.0000000;2144
SPFB.RTS;1;20130711;131300;129510.0000000;129520.0000000;129490.0000000;129500.0000000;472
SPFB.RTS;1;20130711;131400;129500.0000000;129510.0000000;129430.0000000;129460.0000000;2339
SPFB.RTS;1;20130711;131500;129470.0000000;129470.0000000;129430.0000000;129450.0000000;472
SPFB.RTS;1;20130711;131600;129440.0000000;129480.0000000;129420.0000000;129430.0000000;703
SPFB.RTS;1;20130711;131700;129440.0000000;129480.0000000;129430.0000000;129470.0000000;379
SPFB.RTS;1;20130711;131800;129470.0000000;129480.0000000;129430.0000000;129430.0000000;345
SPFB.RTS;1;20130711;131900;129440.0000000;129470.0000000;129400.0000000;129420.0000000;1404
SPFB.RTS;1;20130711;132000;129420.0000000;129450.0000000;129410.0000000;129430.0000000;548
SPFB.RTS;1;20130711;132100;129420.0000000;129460.0000000;129380.0000000;129460.0000000;741
SPFB.RTS;1;20130711;132200;129450.0000000;129470.0000000;129400.0000000;129420.0000000;703
SPFB.RTS;1;20130711;132300;129430.0000000;129490.0000000;129420.0000000;129480.0000000;1205
SPFB.RTS;1;20130711;132400;129480.0000000;129490.0000000;129460.0000000;129480.0000000;346
SPFB.RTS;1;20130711;132500;129470.0000000;129490.0000000;129420.0000000;129460.0000000;1003
SPFB.RTS;1;20130711;132600;129470.0000000;129490.0000000;129430.0000000;129430.0000000;778
SPFB.RTS;1;20130711;132700;129440.0000000;129470.0000000;129420.0000000;129430.0000000;594
SPFB.RTS;1;20130711;132800;129440.0000000;129440.0000000;129350.0000000;129380.0000000;1499
SPFB.RTS;1;20130711;132900;129370.0000000;129390.0000000;129300.0000000;129330.0000000;4254
SPFB.RTS;1;20130711;133000;129330.0000000;129400.0000000;129300.0000000;129330.0000000;2001
SPFB.RTS;1;20130711;133100;129350.0000000;129350.0000000;129270.0000000;129300.0000000;2581
SPFB.RTS;1;20130711;133200;129310.0000000;129360.0000000;129260.0000000;129300.0000000;1814
SPFB.RTS;1;20130711;133300;129290.0000000;129390.0000000;129280.0000000;129390.0000000;1684
SPFB.RTS;1;20130711;133400;129380.0000000;129450.0000000;129360.0000000;129420.0000000;888
SPFB.RTS;1;20130711;133500;129420.0000000;129470.0000000;129410.0000000;129470.0000000;1350
SPFB.RTS;1;20130711;133600;129450.0000000;129520.0000000;129440.0000000;129440.0000000;1595
SPFB.RTS;1;20130711;133700;129440.0000000;129480.0000000;129410.0000000;129470.0000000;1596
SPFB.RTS;1;20130711;133800;129480.0000000;129510.0000000;129460.0000000;129480.0000000;417
SPFB.RTS;1;20130711;133900;129490.0000000;129530.0000000;129480.0000000;129490.0000000;571
SPFB.RTS;1;20130711;134000;129500.0000000;129520.0000000;129470.0000000;129490.0000000;512
SPFB.RTS;1;20130711;134100;129500.0000000;129520.0000000;129460.0000000;129490.0000000;1770
SPFB.RTS;1;20130711;134200;129490.0000000;129520.0000000;129480.0000000;129510.0000000;633
SPFB.RTS;1;20130711;134300;129510.0000000;129550.0000000;129510.0000000;129530.0000000;926
SPFB.RTS;1;20130711;134400;129520.0000000;129670.0000000;129490.0000000;129640.0000000;3403
SPFB.RTS;1;20130711;134500;129660.0000000;129710.0000000;129620.0000000;129670.0000000;3976
SPFB.RTS;1;20130711;134600;129670.0000000;129690.0000000;129570.0000000;129600.0000000;1529
SPFB.RTS;1;20130711;134700;129610.0000000;129620.0000000;129590.0000000;129600.0000000;322
SPFB.RTS;1;20130711;134800;129610.0000000;129660.0000000;129600.0000000;129660.0000000;545
SPFB.RTS;1;20130711;134900;129660.0000000;129680.0000000;129580.0000000;129640.0000000;2392
SPFB.RTS;1;20130711;135000;129640.0000000;129640.0000000;129590.0000000;129620.0000000;872
SPFB.RTS;1;20130711;135100;129630.0000000;129820.0000000;129620.0000000;129750.0000000;4135
SPFB.RTS;1;20130711;135200;129760.0000000;129760.0000000;129670.0000000;129670.0000000;2348
SPFB.RTS;1;20130711;135300;129680.0000000;129700.0000000;129650.0000000;129660.0000000;864
SPFB.RTS;1;20130711;135400;129660.0000000;129680.0000000;129630.0000000;129650.0000000;455
SPFB.RTS;1;20130711;135500;129640.0000000;129730.0000000;129640.0000000;129720.0000000;963
SPFB.RTS;1;20130711;135600;129710.0000000;129770.0000000;129690.0000000;129750.0000000;1244
SPFB.RTS;1;20130711;135700;129750.0000000;129780.0000000;129670.0000000;129710.0000000;1610
